item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,polyols,starch,fiber,monounsaturated fatty acids,polyunsaturated fatty acids
0000000059,"Mleczna Dolina Mleko UHT częściowo odtłuszczone zawartość tłuszczu 1,5 % 1 L",nabial,Y,w porcji 100 ml,44 kcal,1.5 g,0.9 g,4.7 g,4.7 g,3 g,0.1 g,,,,,
0000004370,Mlekovita Masło Polskie ekstra 82% tł. 200 g,nabial,Y,w porcji 100 g,746 kcal,82 g,54 g,1 g,1 g,1 g,0.02 g,,,,,
0000004246,Rolmlecz  Serek homogenizowany waniliowy 200 g,nabial,Y,w porcji 100 g,138 kcal,5.5 g,3.6 g,15 g,14 g,7 g,0.1 g,,,,,
0000002150,Mleczna Dolina Mleko świeże 2% 1 l,nabial,Y,w porcji 100 ml,49 kcal,2 g,1.2 g,4.8 g,4.8 g,3 g,0.1 g,,,,,
0000000058,"Mleczna Dolina mleko UHT zawartość tłuszczu 3,2 % 1 L",nabial,Y,w porcji 100 ml,60 kcal,3.2 g,1.9 g,4.7 g,4.7 g,3 g,0.1 g,,,,,
0000001306,Fantasia Jogurt kremowy z kulkami w czekoladzie 100 g,nabial,Y,w porcji 100 g,147 kcal,7.9 g,5 g,15.4 g,13.6 g,3.4 g,0.14 g,,,,,
0000004338,Moja Kurka Jaja ściółkowe L 10 szt.,nabial,Y,w porcji 100 g,139 kcal,9.7 g,3 g,0.6 g,0 g,12.5 g,0.4 g,0 g,0 g,0 g,,
0000004506,Almette Puszysty serek twarogowy jogurtowy 150 g,nabial,Y,w porcji 100 g,260 kcal,24 g,16 g,3.8 g,3.8 g,7.1 g,,,,,,
0000005537,Zott Primo Śmietanka 30 % 200 g,nabial,Y,w porcji 100 g,293 kcal,30 g,20.1 g,3.4 g,3.4 g,2.3 g,0.09 g,,,,,
0000001305,Fantasia Jogurt kremowy z płatkami w czekoladzie 102 g,nabial,Y,w porcji 100 g,157 kcal,8.4 g,5.3 g,16.9 g,13.8 g,3.3 g,0.18 g,,,,,
0000015339,"Łaciate Mleko UHT 3,2 % 1 l",nabial,Y,w porcji 100 ml,60 kcal,3.2 g,2 g,4.7 g,4.7 g,3.2 g,0.1 g,,,,,
0000008582,Mleczna Dolina Śmietana 18% 200 g,nabial,Y,w porcji 100 g,188 kcal,18 g,12.3 g,3.1 g,3.1 g,2.6 g,0.11 g,,,,,
0000007510,Moja Kurka Jaja Wolny wybieg L 10 sztuk,nabial,Y,w porcji 100 g,139 kcal,9.7 g,3 g,0.6 g,0 g,12.5 g,0.4 g,,,,,
0000002527,Zott Jogobella Jogurt brzoskwinia 175 g,nabial,Y,w porcji 100 g,91 kcal,2.7 g,1.8 g,12.2 g,11.7 g,3.5 g,0.14 g,,,,,
0000002529,Zott Jogobella Jogurt malina 175 g,nabial,Y,w porcji 100 g,89 kcal,2.7 g,1.8 g,11.5 g,10.9 g,3.5 g,0.15 g,,,,,
0000015903,Światowid Podlaski ser plastry 300 g,nabial,Y,w porcji 100 g,330 kcal,26 g,16 g,0.1 g,0.1 g,24 g,1.5 g,,,,,
0000002076,Mleczna Dolina Śmietana 18% 330ml,nabial,Y,w porcji 100 ml,188 kcal,18 g,11 g,4 g,3.8 g,2.5 g,0.1 g,,,,,
0000012034,Fantasia Jogurt kremowy z wiśniami 118 g,nabial,Y,w porcji 100 g,121 kcal,5.3 g,3.4 g,15.9 g,15.4 g,2.3 g,0.13 g,,,,,
0000002531,Zott Jogobella Jogurt wiśnia 175 g,nabial,Y,w porcji 100 g,89 kcal,2.7 g,1.8 g,11.6 g,11 g,3.5 g,0.15 g,,,,,
0000005501,Sottile Gusto Mozzarella Light 200g,nabial,Y,w porcji 100 g,157 kcal,8.5 g,5.8 g,1 g,1 g,19 g,0.6 g,,,,,
0000004505,Almette Puszysty serek twarogowy z chrzanem 150 g,nabial,Y,w porcji 100 g,250 kcal,23 g,16 g,4 g,3.4 g,6.8 g,,,,,,
0000011526,Danio Serek homogenizowany truskawkowy 120 g,nabial,Y,w porcji 100 g,97 kcal,2.5 g,1.6 g,12.9 g,12 g,5.5 g,0.08 g,,,,,
0000003328,Almette z ogórkiem i ziołami 150 g,nabial,Y,w porcji 100 g,243 kcal,22 g,15 g,5.5 g,3 g,5.8 g,0.8 g,,,,,
0000007436,"Piątnica Serek Homogenizowany truskawkowy, 150 g",nabial,Y,w porcji 100 g,130 kcal,5.7 g,4.1 g,13 g,13 g,6.6 g,0.1 g,,,,,
0000002530,Zott Jogobella Jogurt truskawka 175 g,nabial,Y,w porcji 100 g,90 kcal,2.7 g,1.8 g,12 g,11.4 g,3.5 g,0.14 g,,,,,
0000017919,Fantasia Jogurt kremowy chrupiący słony karmel 99 g,nabial,Y,w porcji 100 g,147 kcal,8.4 g,5.3 g,14.7 g,13.3 g,3.2 g,,,,,,
0000002543,Napój mleczny Müllermilch o smaku bananowym 400g,nabial,Y,w porcji 100 g,67 kcal,1.4 g,0.9 g,10.5 g,10 g,3.2 g,0.14 g,,,,,
0000004368,"Camembert Aromatyczny, 120 g",nabial,Y,w porcji 100 g,353 kcal,32 g,19.1 g,0.2 g,0.2 g,16 g,1.7 g,,,,,
0000016500,Zott Monte Deser 150 g,nabial,Y,w porcji 100 g,183 kcal,12.2 g,8.1 g,15.5 g,13.6 g,2.6 g,0.1 g,,,,,
0000005193,Elios Ser halloumi 225 g,nabial,Y,w porcji 100 g,302 kcal,24 g,16 g,1.4 g,1.4 g,20 g,2.5 g,,,0 g,,
0000003418,"Mleczna Dolina Mleko UHT 1,5% bez laktozy 1 l",nabial,Y,w porcji 100 ml,44 kcal,1.5 g,1 g,4.7 g,4.7 g,3 g,0.1 g,,,,,
0000007927,Włoszczowa Ser Włoszczowski plastry 400 g,nabial,Y,w porcji 100 g,338 kcal,26 g,18 g,1.1 g,0 g,25 g,1.5 g,,,,,
0000002591,Fruvita Duo Jogurt z kulkami w czekoladzie 125 g,nabial,Y,w porcji 100 g,162 kcal,8.3 g,5.2 g,17 g,14 g,4.5 g,0.24 g,,,0.6 g,,
0000006584,"Bakuś Serek truskawkowy z dodatkiem wapnia, witamin D, B6 i B12 90 g",nabial,Y,w porcji 100 g,108 kcal,4 g,2.4 g,12.3 g,11.8 g,5.8 g,0.1 g,,,,,
0000005476,"Ser królewski wędzony plastry, 135 g",nabial,Y,w porcji 100 g,352 kcal,27 g,18 g,1.2 g,0 g,26 g,1.4 g,0 g,0 g,0 g,0 g,0 g
0000000743,Twist Jogurt pitny owoce leśne 370 g,nabial,Y,w porcji 100 g,68 kcal,1.6 g,1.1 g,10.6 g,10.4 g,2.7 g,0.1 g,,,,,
0000011218,Bakoma Bakuś Milk & Fun Jogurt o smaku waniliowym z piankami 128 g,nabial,Y,w porcji 100 g,95 kcal,2.5 g,1.8 g,14.4 g,13.5 g,3.6 g,0.09 g,,,,,
0000001302,Président Twaróg delikatny ze szczypiorkiem 350 g,nabial,Y,w porcji 100 g,132 kcal,10 g,6.5 g,4 g,3.2 g,6.3 g,0.7 g,,,,,
0000011219,Bakoma Bakuś Milk & Fun Jogurt o smaku waniliowym z drażami 135 g,nabial,Y,w porcji 100 g,114 kcal,4.1 g,2.9 g,15.2 g,14.4 g,3.3 g,0.09 g,,,1.3 g,,
0000003327,Almette z ziołami 150 g,nabial,Y,w porcji 100 g,247 kcal,23 g,16 g,4.2 g,2.8 g,5.9 g,0.92 g,,,,,
0000007082,Fruvita z granolą i brzoskwiniami 230 g,nabial,Y,w porcji 100 g,165 kcal,7.6 g,4 g,20.5 g,14.9 g,3.2 g,0.08 g,,,1.1 g,,
0000006911,Napój mleczny Müllermilch SHAKE o smaku banana 400g,nabial,Y,w porcji 100 g,86 kcal,3.3 g,2.2 g,10.8 g,10.5 g,3.2 g,0.14 g,,,,,
0000001299,Président Twaróg delikatny z rzodkiewką 350 g,nabial,Y,w porcji 100 g,132 kcal,10 g,6.5 g,4.5 g,3.6 g,5.8 g,1 g,,,,,
0000004376,Zott Belriso Deser mleczny z ryżem i sosem 200 g,nabial,N,,,,,,,,,,,,,
0000019285,Bakoma Maxi Meal o smaku waniliowym 500g,nabial,Y,w porcji 100 g,100 kcal,4.7 g,1.2 g,7 g,2.7 g,6.7 g,0.1 g,,,1.6 g,,
0000020124,Twist 0% jagoda-wiśnia 370 g,nabial,Y,w porcji 100 g,31 kcal,0 g,0 g,4.9 g,4.6 g,2.8 g,0.11 g,,,,,
0000011673,Danio Serek homogenizowany z kawałkami czekolady 130 g,nabial,Y,w porcji 100 g,109 kcal,4 g,2.6 g,12.4 g,12 g,5.9 g,0.09 g,,,,,
0000006744,Moja Kurka Jaja ściółkowe M 20szt,nabial,Y,w porcji 100 g,139 kcal,9.7 g,3 g,0.6 g,0 g,12.5 g,0.4 g,,,,,
0000010700,"Danio Serek homogenizowany o smaku waniliowym, 120 g",nabial,Y,w porcji 100 g,94 kcal,2.5 g,1.6 g,12.2 g,11 g,5.5 g,0.08 g,,,,,
0000004503,Almette Puszysty serek twarogowy ze szczypiorkiem i cebulą 150 g,nabial,Y,w porcji 100 g,258 kcal,24 g,17 g,3.5 g,3.3 g,7.1 g,,,,,,
0000000180,Mleczna Dolina Masło extra zawartość tłuszczu 82 % 200 g,nabial,Y,w porcji 100 g,744 kcal,82 g,55 g,0.7 g,0.7 g,0.7 g,0.2 g,,,,,
0000004504,Almette Puszysty serek twarogowy z pomidorami dojrzewającymi w słońcu 150 g,nabial,Y,w porcji 100 g,236 kcal,21 g,15 g,4.4 g,4.3 g,7.3 g,,,,,,
0000002541,Müller Müllermilch Napój mleczny o smaku czekoladowym 400 g,nabial,Y,w porcji 100 g,71 kcal,1.6 g,1.1 g,10.7 g,10.2 g,3.4 g,0.15 g,,,,,
0000004702,Rolmlecz Serek homogenizowany truskawkowy 200 g,nabial,Y,w porcji 100 g,114 kcal,7 g,4.7 g,4.5 g,3.5 g,8.2 g,0.15 g,,,,,
0000009338,Delikate Serek śmietankowy ze szczypiorkiem 200 g,nabial,Y,w porcji 100 g,243 kcal,23 g,15 g,3 g,3 g,6 g,0.7 g,,,0 g,,
0000004362,Hochland Ser kremowy w plastrach tost 130 g,nabial,Y,w porcji 100 g,243 kcal,17 g,12 g,6.6 g,6.6 g,16 g,2.5 g,,,,,
0000001922,Activia Drink Truskawka/Kiwi 280 g,nabial,Y,w porcji 100 g,60 kcal,0.85 g,0.54 g,10 g,10 g,2.9 g,0.11 g,,,,,
0000011525,Danio Serek homogenizowany o smaku czekoladowo-orzechowym 120 g,nabial,Y,w porcji 100 g,109 kcal,3.1 g,1.9 g,14.2 g,13.4 g,5.8 g,0.08 g,,,,,
0000015914,Bakoma Bakuś Milk & Fun Jogurt o smaku waniliowym z chrupkami musującymi 132 g,nabial,Y,w porcji 100 g,105 kcal,3.3 g,2.3 g,15.4 g,14.2 g,3.5 g,0.2 g,,,,,
0000004184,Piątnica Serek wiejski z jagodami 150 g,nabial,Y,w porcji 100 g,122 kcal,4 g,2.8 g,13 g,11 g,8.6 g,0.5 g,,,,,
0000016452,Hochland Ser kremowy z szynką w trójkącikach (8 sztuk) 180 g,nabial,Y,w porcji 100 g,213 kcal,16 g,11 g,6.2 g,6.2 g,11 g,2.6 g,,,,,
0000001042,Fruvita  jogurt pitny truskawkowy 400g,nabial,Y,w porcji 100 g,77 kcal,2 g,1.2 g,11.8 g,11.4 g,2.8 g,0.13 g,,,0.1 g,,
0000002533,Müller Müllermilch Napój mleczny o smaku truskawkowym 400 g,nabial,Y,w porcji 100 g,64 kcal,1.4 g,0.9 g,9.5 g,9.5 g,3.2 g,0.14 g,,,,,
0000002592,Fruvita Duo Jogurt z gwiazdkami w czekoladzie 125g,nabial,Y,w porcji 100 g,160 kcal,8 g,5.1 g,17 g,14 g,4.6 g,0.24 g,,,0.6 g,,
0000016316,Piątnica Serek wiejski z ananasem 150 g,nabial,Y,w porcji 100 g,110 kcal,4 g,2.8 g,10 g,10 g,8.6 g,0.5 g,,,,,
0000004479,Delikate Camambert z ziołami 120 g,nabial,Y,w porcji 100 g,270 kcal,22 g,15 g,0.5 g,0.5 g,18 g,1.7 g,,,,,
0000004055,Fantasia Truskawka 118 g,nabial,Y,w porcji 100 g,118 kcal,5.3 g,3.4 g,15.2 g,14.8 g,2.3 g,0.09 g,,,,,
0000001842,Actimel o smaku owocu granatu 6x100 g,nabial,Y,w porcji 100 g,73 kcal,1.4 g,1 g,11.3 g,11.1 g,2.8 g,0.1 g,,,,,
0000006298,Zott Monte Deser mleczny z czekoladą i orzechami 330 g (6 x 55 g),nabial,Y,w porcji 100 g,183 kcal,12.2 g,8.1 g,15.5 g,13.6 g,2.6 g,0.1 g,,,,,
0000004700,"Mleczna Dolina mleko UHT bez laktozy zawartość tłuszczu 3,2 % 1 L",nabial,Y,w porcji 100 ml,59 kcal,3.2 g,2.1 g,4.4 g,4.4 g,3.2 g,0.1 g,,,,,
0000005040,Galbani Ser mozzarella 100 g,nabial,Y,w porcji 100 g,238 kcal,18 g,13 g,2 g,1 g,17 g,0.7 g,,,,,
0000001043,Fruvita  jogurt pitny brzoskwiniowy 400g,nabial,Y,w porcji 100 g,77 kcal,2 g,1.2 g,11.8 g,11.4 g,2.8 g,0.1 g,,,0.1 g,,
0000015902,Ser Światowid Gouda plastry 300 g,nabial,Y,w porcji 100 g,335 kcal,27 g,16 g,0.1 g,0.1 g,23 g,1.5 g,,,,,
0000007925,Włoszczowa Ser Gouda plastry 400 g ,nabial,Y,w porcji 100 g,338 kcal,26 g,18 g,1.1 g,0 g,25 g,1.5 g,,,,,
0000004491,Delikate Serek wiejski bez laktozy 200 g,nabial,Y,w porcji 100 g,97 kcal,5 g,3.3 g,20 g,2 g,11 g,0.7 g,,,0 g,,
0000004146,Krasnystaw Kefir 420 g,nabial,Y,w porcji 100 g,50 kcal,2 g,1.2 g,4.7 g,4.2 g,3.4 g,0.08 g,,,,,
0000016936,Activia Jogurt bez dodatku cukru mango banan 270 g,nabial,Y,w porcji 100 g,47 kcal,0.5 g,0.3 g,7.3 g,7.2 g,3.1 g,0.14 g,,,,,
0000004741,Piątnica Wiejskie bez laktozy 2% 1 l,nabial,Y,w porcji 100 ml,42 kcal,2 g,1.3 g,2.6 g,2.6 g,3.5 g,0.1 g,,,,,
0000006523,Piątnica Skyr jogurt pitny typu islandzkiego jagoda 330 ml,nabial,Y,w porcji 100 g,78 kcal,1.5 g,1.1 g,9.5 g,9 g,6.5 g,0.08 g,,,,,
0000006908,Müllermilch Shake Napój mleczny o smaku truskawkowym 400 g,nabial,Y,w porcji 100 g,83 kcal,3.3 g,2.2 g,10.1 g,9.6 g,3.3 g,0.14 g,,,,,
0000000744,Twist Jogurt pitny malinowy 370 g,nabial,Y,w porcji 100 g,68 kcal,1.6 g,1.1 g,10.6 g,10.4 g,2.7 g,0.1 g,,,,,
0000016315,Piątnica Serek wiejski z brzoskwinią 150 g,nabial,Y,w porcji 100 g,110 kcal,4 g,2.8 g,10 g,10 g,8.6 g,0.5 g,,,,,
0000004186,Piątnica Serek wiejski z malinami i żurawiną 150g,nabial,Y,w porcji 100 g,122 kcal,4 g,2.8 g,13 g,11 g,8.6 g,0.5 g,,,,,
0000004360,Hochland Ser kremowy w plastrach z szynką 130 g,nabial,Y,w porcji 100 g,242 kcal,17 g,11 g,6.3 g,6.3 g,16 g,2.6 g,,,,,
0000012038,Fantasia Jogurt kremowy z kulkami o smaku truskawki 100 g,nabial,Y,w porcji 100 g,148 kcal,8.2 g,5.2 g,15.4 g,14 g,3.4 g,0.14 g,,,,,
0000006583,"Bakuś Serek o smaku czekoladowym z dodatkiem  wapnia, witamin: D, B6 i B12 90 g",nabial,Y,w porcji 100 g,108 kcal,4 g,2.4 g,12.3 g,11.8 g,5.8 g,0.1 g,,,,,
0000007044,"Moja Kurka Jaja z chowu na wolnym wybiegu M, 20 szt.",nabial,Y,w porcji 100 g,139 kcal,9.7 g,3 g,0.6 g,0 g,12.5 g,0.4 g,,,,,
0000011674,Danio Serek homogenizowany truskawkowy 130 g,nabial,Y,w porcji 100 g,102 kcal,2.9 g,1.9 g,13.5 g,12.6 g,5.3 g,0.08 g,,,,,
0000007512,Go Bio Jaja 9szt,nabial,Y,w porcji 100 g,138 kcal,9.5 g,2.7 g,0.5 g,0 g,13 g,0.3 g,,,,,
0000000111,Mleczna Dolina Bita śmietanka w sprayu 250 ml,nabial,Y,w porcji 100 g,239 kcal,21 g,9.6 g,18 g,17 g,2.6 g,0.13 g,,,,,
0000007433,Jovi Duet  jagoda-wiśnia 350g,nabial,Y,w porcji 100 g,68 kcal,0.8 g,0.5 g,13 g,12 g,1.7 g,0.1 g,,,,,
0000007431,Jovi Duet banan-truskawka 350g,nabial,Y,w porcji 100 g,67 kcal,0.8 g,0.5 g,13 g,12 g,1.7 g,0.1 g,,,,,
0000002426,Tutti Serek stracciatella 150g,nabial,Y,w porcji 100 g,123 kcal,5 g,3.3 g,13.5 g,11.5 g,5.6 g,0.1 g,,,,,
0000008394,Moja Kurka Polskie jaja z chowu na wolnym wybiegu od kury zielononóżki 10 szt.,nabial,Y,w porcji 100 g,139 kcal,9.7 g,3 g,0.6 g,0 g,12.5 g,0.4 g,,,,,
0000004940,"Jogurt BIO banan, 140 g ",nabial,Y,w porcji 100 g,89 kcal,2.5 g,1.8 g,12.9 g,12 g,3.5 g,0.1 g,,,,,
0000007440,"Piątnica Serek Homogenizowany straciatella, 150 g",nabial,Y,w porcji 100 g,130 kcal,5.7 g,4.1 g,13 g,13 g,6.6 g,0.1 g,,,,,
0000003740,Hochland Ser kremowy z szynką 90 g,nabial,Y,w porcji 100 g,176 kcal,12 g,7.9 g,5.9 g,5.9 g,11 g,2.5 g,,,,,
0000000036,"Mleko UHT Mlekovita 3,2% 1l",nabial,Y,w porcji 100 ml,60 kcal,3.2 g,2.1 g,4.7 g,4.7 g,3.2 g,0.1 g,,,,,
0000006520,Piątnica Jogurt pitny Skyr mango marakuja 330 ml,nabial,Y,w porcji 100 g,345 kcal,1.5 g,1.1 g,10.5 g,10 g,6.5 g,0.08 g,,,,,
0000004187,Piątnica Serek Wiejski z truskawką 150 g,nabial,Y,w porcji 100 g,110 kcal,4 g,2.8 g,10 g,10 g,8.6 g,0.5 g,,,,,
0000012975,Delikate Twarożek grani klasyczny 200 g,nabial,Y,w porcji 100 g,115 kcal,7 g,4.5 g,2 g,2 g,11 g,0.7 g,,,0 g,,
0000015034,Delikate Marcarpone o smaku karmelowym 250 g,nabial,Y,w porcji 100 g,380 kcal,36 g,24 g,11 g,11 g,3.1 g,0.12 g,,,0 g,,
0000003518,Piątnica Serek wiejski naturalny 200 g,nabial,Y,w porcji 100 g,97 kcal,5 g,3.5 g,2 g,1.5 g,11 g,0.7 g,,,,,
0000004201,Piątnica Twój Smak aksamitny z łososiem 135g,nabial,Y,w porcji 100 g,243 kcal,23 g,15 g,3 g,3 g,6 g,1 g,,,,,
0000004477,Delikate Camembert Naturalny 120 g,nabial,Y,w porcji 100 g,270 kcal,22 g,15 g,0.5 g,0.5 g,18 g,1.7 g,,,,,
0000003599,Królewski Ser żółty platry 135g,nabial,Y,w porcji 100 g,352 kcal,27 g,18 g,1.2 g,0 g,26 g,1.5 g,0 g,0 g,0 g,0 g,0 g
0000001843,Actimel o smaku wieloowocowym 6x100 g,nabial,Y,w porcji 100 g,78 kcal,1.4 g,1 g,12.7 g,12.5 g,2.8 g,0.1 g,,,,,
0000013014,Światowid Gouda wiórki 300 g,nabial,Y,w porcji 100 g,344 kcal,26 g,17 g,2.5 g,0 g,25 g,1.5 g,,,0 g,,
0000002907,Delikate Camembert de caracter 200 g,nabial,Y,w porcji 100 g,353 kcal,32 g,19 g,0.5 g,0.5 g,16 g,1.7 g,,,,,
0000007715,"Piątnica  Koktajl białkowy - mango, marakuja 250 ml",nabial,Y,w porcji 100 ml,88 kcal,1.2 g,0.7 g,9 g,9 g,10.2 g,0.09 g,,,,,
0000019343,Alpro Skyr Style Proteina truskawka 400 g,nabial,Y,w porcji 100 g,85 kcal,3 g,0.5 g,8.5 g,8.2 g,5.2 g,0.22 g,,,1.2 g,,
0000000951,"Mleczna Dolina Mleko świeże 3,2% 1 l",nabial,Y,w porcji 100 ml,60 kcal,3.2 g,1.9 g,4.8 g,4.8 g,3 g,0.1 g,,,,,
0000005086,Fruvita Jogurt naturalny kremowy 400g,nabial,Y,w porcji 100 g,71 kcal,3 g,1.8 g,6.5 g,6.5 g,4.4 g,0.18 g,,,0 g,,
0000013059,Piątnica Serek śmietankowy naturalny 135g,nabial,Y,w porcji 100 g,243 kcal,23 g,15 g,3 g,3 g,6 g,0.8 g,,,,,
0000001853,Światowid Ser plastry mierzwione Edamski 150 g,nabial,Y,w porcji 100 g,311 kcal,23 g,14 g,0.1 g,0.1 g,26 g,2.5 g,,,,,
0000002919,Delikate Blue z niebieską pleśnią 100g,nabial,Y,w porcji 100 g,370 kcal,32 g,19 g,1.4 g,0.6 g,19 g,2.5 g,,,,,
0000008349,"Piątnica Jogurt SKYR z truskawkami,150 g",nabial,Y,w porcji 100 g,82 kcal,0 g,0 g,11 g,11 g,9.6 g,0.06 g,,,,,
0000004606,"Piątnica Twaróg Wiejski Półtłusty klinek, 250 g",nabial,Y,w porcji 100 g,115 kcal,4 g,2.4 g,3.8 g,3.8 g,16 g,0.11 g,,,,,
0000016453,Hochland Ser kremowy mixtett w trójkącikach 180 g,nabial,N,,,,,,,,,,,,,
0000005413,Zott Primo Bez laktozy Jogurt naturalny 180 g,nabial,Y,w porcji 100 g,65 kcal,3.1 g,2.1 g,3.7 g,3.7 g,4.8 g,0.16 g,,,,,
0000007639,Fruvita Pure jogurt owoce mango banan marakuja 150 g,nabial,Y,w porcji 100 g,88 kcal,3.1 g,1.8 g,10.6 g,9.3 g,3.9 g,0.15 g,,,0.8 g,,
0000005341,Fruvita Skyr naturalny 150 g,nabial,Y,w porcji 100 g,66 kcal,0 g,0 g,3.8 g,3.8 g,12 g,0.11 g,,,0 g,,
0000002444,Śmietana 18% Piątnica 200 g,nabial,Y,w porcji 100 g,192 kcal,18 g,12 g,4.8 g,4.5 g,2.7 g,0.1 g,,,,,
0000011672,Danio Serek homogenizowany o smaku waniliowym 130 g,nabial,Y,w porcji 100 g,99 kcal,2.9 g,1.9 g,12.8 g,11.6 g,5.3 g,0.08 g,,,,,
0000016380,Zott Primo Jogurt naturalny 370 g,nabial,Y,w porcji 100 g,67 kcal,3.1 g,2.1 g,4 g,4 g,4.8 g,0.17 g,,,,,
0000008513,GustoBello Burrata 125 g/280 g,nabial,Y,w porcji 100 g,259 kcal,23 g,15 g,2 g,1.8 g,10 g,0.41 g,,,0 g,,
0000001923,Activia Jogurt pitny jagoda borówka 280 g,nabial,Y,w porcji 100 g,60 kcal,0.9 g,0.6 g,10 g,10 g,2.9 g,0.11 g,,,,,
0000019399,Alpro Skyr Style sojowy wanilia 400 g,nabial,Y,w porcji 100 g,77 kcal,3 g,0.5 g,6.8 g,6.5 g,5.1 g,0.24 g,,,1.1 g,,
0000015907,Światowid Morski ser żółty w plastrach 500 g,nabial,Y,w porcji 100 g,327 kcal,25 g,18 g,1.5 g,0 g,24 g,2.5 g,,,0 g,,
0000008353,Piątnica Skyr jogurt typu islandzkiego z mango i marakują 150 g,nabial,Y,w porcji 100 g,82 kcal,0 g,0 g,11 g,11 g,9.6 g,0.06 g,,,,,
0000002939,Mleczna Dolina Kefir w butelce 400 g,nabial,Y,w porcji 100 g,44 kcal,1.5 g,1.1 g,4.5 g,3.4 g,3.2 g,0.1 g,,,,,
0000003742,Hochland Ser kremowy z ziołami 90 g,nabial,Y,w porcji 100 g,175 kcal,12 g,8 g,5.7 g,5.6 g,11 g,2.5 g,,,,,
0000015900,Delikate Serek wiejski lekki 3% 200 g,nabial,Y,w porcji 100 g,83 kcal,3 g,1.8 g,3 g,2.8 g,11 g,0.5 g,,,,,
